protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
3,0.108,0.072,0.4,0,0.108,25,16,5,66.44,149,2.869,1.25,0.299
3.1,0.125,0.141,0,0,0.129,15.6,0.39,0,80.6,74,0,0,0
2.4,0.003,0.102,0,0,0.161,6.63,6.63,19.52,71.15,208,17.791,0.588,0.056
3.5,0.141,0.071,0,0.0009,0.212,7.1,0.22,10.6,78.1,138,6.6,3.1,0.4
7,0.141,0.07,0,0.0009,0.211,7,0.3,14.1,71,181,8.7,4.1,0.5
3.25,0.113,0.048,0,0.0009,0.162,4.68,4.68,16.57,74.79,178,13.272,1.958,0.468
27.2,0.905,0.725,0,0,0.093,2,0.58,18.3,48.2,282,11.58,5.02,0.75
11.73,2.054,0.968,0,0.0009,2.289,73.45,73.45,0.54,3.51,339,0.342,0.149,0.021
0.76,0.103,0.048,0,0.0001,0.143,5.12,5.12,0.09,93.42,24,0.057,0.025,0.004
12.93,0.796,1.079,0,0.0015,2.08,74.46,74.46,1.07,3.19,353,0.684,0.297,0.034
0.85,0.047,0.054,0,0.0001,0.161,5.14,5.14,0.36,93.12,27,0.23,0.1,0.011
0.9,0.003,0.106,0,0,0.026,10.6,10.6,6,82.3,100,3.186,1.357,1.158
3,0.071,0.072,0,0,0.101,23.6,23.6,13.1,59.7,224,11.273,0.838,0.269
3.53,0.088,0.135,1.2,0,0.339,23.53,14.97,0,71.57,112,0,0,0
3.53,0.088,0.135,1.2,0,0.339,23.53,14.97,0,71.57,112,0,0,0
4.4,0.152,0.058,0,0.0007,0.194,19,19,0.2,75.4,95,0.119,0.05,0.016
4.4,0.152,0.058,0,0.0007,0.194,19,19,0.2,75.4,95,0.119,0.05,0.016
4.37,0.152,0.058,0,0.0007,0.195,19.05,19.05,1.08,74.48,102,0.697,0.297,0.031
4.37,0.152,0.058,0,0.0007,0.195,19.05,19.05,1.08,74.48,102,0.697,0.297,0.031
