protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
16.55,0.079,0.06,9,0.0012,1.193,72.73,2.43,0.73,6.45,331,0.249,0.115,0.178
8.98,0.114,0.027,14.1,0.0007,1.32,71.62,3.39,4.24,9.94,335,2.599,0.479,0.929
6.71,0.252,0.08,20.2,0.021,0.463,50.5,0,32.38,8.17,475,9.51,11.17,4.39
12.66,1.99,0.077,40.3,0.0514,1.522,60.56,4.09,7.04,7.64,271,0.529,0.94,4.405
26.08,0.266,0.013,12.2,0.0071,0.738,28.09,6.79,36.24,5.27,508,1.989,22.518,10.088
5.84,0.184,0.016,20.8,0.003,0.35,49.29,28.49,36.31,6.23,525,25.94,3.22,0.35
10.41,0.384,0.073,15.2,0.0234,0.985,79.12,6.63,1.04,5.39,341,0.219,0.202,0.31
9,1.597,0.025,42.5,0.0023,1.26,68.92,4.09,4.28,9.93,265,1.551,0.716,1.369
14.14,0.229,0.068,34.9,0.0009,2.28,53.99,10.34,12.89,11.24,282,2.14,1.695,7.766
26.63,1.14,0.452,26.7,0.125,2.683,50.64,7.27,5.48,5.89,292,0.774,0.373,4.116
10.39,0.443,0.02,25.3,0,1.329,63.95,0.64,3.26,12.46,251,1.392,0.739,0.998
12.01,0.148,0.03,27.2,0.0764,2.014,56.63,10.34,17.27,8.05,318,3.26,2.75,8.37
10.4,0.265,0.005,26.2,0.021,0.073,68.61,0,2.12,11.42,296,0.626,0.789,0.616
17.99,1.438,0.026,19.5,0.001,0.719,28.13,2.99,41.56,5.95,525,4.517,5.982,28.569
9.59,0.996,0.027,11.3,0.012,0.684,65.59,3.08,7.53,9.31,307,3.29,1.206,1.936
5.76,0.682,0.052,14.8,0.0234,0.663,69.28,7.76,12.6,8.46,342,6.53,1.102,0.78
4.88,1.28,0.05,42.6,0.0612,0.955,64.06,0,15.22,9.31,331,7.371,3.014,2.339
11.43,0.111,0.148,3.9,0.0808,1.724,65.37,0,5.85,11.9,310,1.586,0.429,2.067
10.63,1.652,0.011,40.3,0.0324,1.07,60.73,1.71,12.75,7.96,315,7.03,1.87,1.76
6.73,2.132,0.024,45.7,0.05,1.051,68.73,0,5.91,9,272,3.26,0,0
22.77,1.139,0.062,7.4,0.05,3.02,50.22,0,7.24,7.74,295,1.881,0.474,3.698
9.11,1.89,0.055,37,0.05,0.814,63.94,1.71,7.43,7.79,276,2.73,0.47,1.19
7.83,0.183,0.038,21.1,0.0259,2.525,64.93,3.21,9.88,11.36,354,3.12,1.66,2.18
5.56,0.405,0.009,14,0.1601,0.609,24.45,0,1.68,65.11,101,0.467,0.081,0.532
0.06,0.011,0.009,0,0,0.148,12.65,12.65,0.06,52.58,288,0.01,0.01,0.004
0.05,0,0.004,0,0,0.098,2.41,0,0,64.46,237,0,0,0
0.03,0.003,0.003,0,0,0,14.4,14.4,0,85.58,56,0,0,0
0.49,0.027,0.023,0,0,0.112,17.03,14.95,0,76.45,88,0,0,0
0,0.007,0.005,0,0,0.073,0.93,0.4,0,93.81,21,0,0,0
0,0.006,0.002,0,0,0.002,0.04,0.04,0,94.78,18,0,0,0
0.04,0.006,0.008,0,0.0005,0.039,0.27,0,0,94.47,19,0,0,0
5.43,1.053,0.25,1.7,0.0024,0.18,68.63,42,5.3,14,344,0.453,3.107,1.541
0.8,0.006,0.02,0.5,0.0351,0.07,19.5,12.02,1.6,77.9,96,1.034,0.438,0.044
0.2,0.007,0.004,0.2,0.0279,0.123,12.3,11,0.1,87.1,51,0.018,0.004,0.034
0,0.006,0.005,0,0.0279,0.097,11.49,6.88,0.02,88.3,46,0.007,0,0.012
2.6,0.004,0.009,1.8,0.0001,0.12,10.9,7.98,0.9,85.3,62,0.25,0.36,0.111
0.2,0.01,0.006,0.9,0.0313,0.05,12.1,10.83,0.1,87.5,51,0.02,0.004,0.03
6.4,0.4,0.324,2.3,0.01,0.114,76.68,28,9.9,3.7,421,1.646,3.13,3.638
0.3,0.003,0.007,1,0.0123,0.071,16.3,14.66,0.2,83.1,68,0.058,0.018,0.047
2.5,0.079,0.037,0.4,0.0339,0.16,17.54,13.28,0.8,78.5,89,0.517,0.219,0.022
1,0.004,0.002,1.6,0.0219,0.29,21.34,11.36,0.2,76.7,91,0.072,0.028,0.041
3.4,0.022,0.069,2.6,0.0008,0.226,5.7,2.04,2.5,87.3,59,0.96,1.06,0.13
0.6,0.019,0.048,2.3,0.0007,0.129,5.23,2.5,0.3,93.5,26,0.052,0.012,0.148
11.1,0.795,0.012,8.2,0.0022,0.395,75.3,3.1,3.4,6.8,365,0.418,0.666,1.759
3.73,0.162,0.043,0.6,0.0002,0.151,9.94,5.1,3.26,82.19,84,1.76,0.802,0.309
8.7,0.055,0.009,6.5,0,0.386,85.65,0.92,3,1,404,0.6,1.08,1.07
2.5,0.028,0.048,0.9,0.0009,0.035,6.2,0,5,85.9,79,1.64,2.207,0.641
8.7,0.218,0.049,0,0,0.349,11.6,0,3.8,74.5,111,0,0,0
25.4,0.751,0.104,7.1,0.0031,1.33,57.6,0,6.5,5.3,374,0.96,1.231,3.429
6.9,0.223,0.058,0,0,0.346,13.4,0,3.9,74.4,112,0,0,0
12.2,0.733,0.003,7.5,0.0023,0.437,73.4,0.87,4.4,6.7,379,0.769,1.206,1.697
4.14,0.22,0.042,0.8,0.0003,0.166,12.3,4.78,3.38,79.21,96,1.745,0.855,0.359
1.2,0.004,0.003,1.2,0.0091,0.032,18.4,7.79,0.4,79.6,83,0.072,0.108,0.152
1.2,0.006,0.003,1.2,0.0255,0.041,18,7.79,0.5,80,82,0.09,0.135,0.191
10.7,0.696,0,7.8,0.0036,0.668,77.1,6.68,4.6,4.5,391,0.846,1.223,1.734
3.82,0.153,0.048,0.4,0.0004,0.178,10,5.9,3.46,81.81,86,1.808,0.859,0.342
5,0.294,0.048,0,0,0.171,15.9,0,3.6,74.2,115,0,0,0
13.07,0.707,0.004,9,0,0.42,69.65,3.84,8,5.9,399,1.37,2.57,2.47
5,0.22,0.046,1.1,0.0013,0.204,15.3,0,4.1,74.5,116,2.258,0,0
1.3,0.006,0.003,0.8,0.0245,0.048,15.7,9.48,0.7,81.8,75,0.126,0.216,0.253
1.3,0.009,0.003,0.8,0.0218,0.047,15.4,10.49,0.7,82.2,74,0.125,0.216,0.253
12,0.651,0.006,5.2,0.0047,0.731,73.4,13.75,6,4.7,393,1.267,1.429,2.186
3.82,0.153,0.048,0.4,0.0004,0.178,10,5.9,3.46,81.81,86,1.82,0.859,0.345
13.5,1.154,0.047,0,0,0.259,69.3,0,7,5.8,391,0,0,0
5,0.289,0.049,0,0,0.17,15.3,0,3.9,74.5,115,0,0,0
7.1,0.85,0.006,0.5,0.0024,0.385,77.7,0.12,4.9,6.7,391,0.919,1.26,2.016
3.45,0.168,0.042,0,0.0002,0.151,10.31,4.87,3.38,81.96,85,1.793,0.846,0.333
1.2,0.017,0.004,1,0.0316,0.028,17.1,2.24,0.4,81,80,0.114,0.104,0.102
8.7,0.691,0,1,0.002,0.769,79.9,16.7,4.2,4.7,404,0.978,0.986,1.503
3.57,0.156,0.047,0.1,0.0002,0.18,10.49,6.13,3.32,81.81,86,1.798,0.826,0.294
3.9,0.291,0.049,0,0,0.141,17.1,0,3.3,74.4,115,0,0,0
0.9,0.016,0.01,0.6,0.0093,0.05,18.3,10.5,0.2,80.4,82,0.06,0.04,0.05
12.6,0.6,0.025,12.2,0.0583,0.516,77.1,22.2,4.8,1.7,402,0.639,1.277,1.866
1.9,0.024,0.033,0.9,0.0007,0.035,7.1,0,1.8,88.7,52,0.61,0.79,0.3
1.9,0.024,0.033,0.9,0.0007,0.039,7,0,1.8,88.8,51,0.61,0.79,0.3
2.2,0.027,0.038,0,0.0008,0.044,8,0,1.5,87.2,58,0.49,0.61,0.33
0.3,0.005,0,0.2,0.0093,0.045,19.2,10.39,0.1,79.8,78,0.02,0.02,0.03
6.8,0.083,0.009,3.4,0.0015,0.425,73.7,24.2,12.6,5.7,435,2.7,4.865,4.334
11.8,0.101,0.357,0.2,0.007,0.501,67.1,24.2,13.2,5.9,433,2.352,5.99,2.878
7.6,0.032,0.319,0.2,0.0055,0.156,71.1,0,14.3,5.6,442,1.048,7.922,0.591
1.26,0.018,0.014,1.8,0.005,0.154,15.23,4,0.28,82.62,68,0.053,0.071,0.123
8.4,0.041,0.571,4,0.0505,0.245,66.85,13,19.6,2,477,1.966,15.779,1.022
1,0.011,0.054,0.8,0.012,0.09,14.14,10.55,0.8,83.5,68,0.264,0.277,0.111
1.1,0.03,0.014,0.5,0.0139,0.1,17.4,3.95,0.52,80.7,79,0.37,0.12,0.03
0.5,0.025,0.014,0.4,0.0124,0.062,17.05,13.62,0.7,81.4,77,0.452,0.192,0.019
0.2,0.005,0,0.3,0.0011,0.033,18.4,16.98,0.2,81,69,0.058,0.07,0.036
0.2,0.005,0,0.3,0.0011,0.034,17.8,9.15,0.3,81.5,68,0.087,0.105,0.053
1.76,0.054,0.026,0.2,0.0004,0.068,17.58,12.2,0.98,79.31,86,0.325,0.364,0.128
1.6,0.055,0,0,0.0008,0.066,16,11.5,2,79.9,85,1.01,0.68,0.16
0.2,0.003,0.003,1.4,0.018,0.067,19.29,17.89,0.16,80.32,79,0.025,0.006,0.045
0.2,0.005,0,1.4,0.0214,0.033,19.74,17.89,0.4,79.5,75,0.19,0.08,0.01
0.3,0.009,0,0.6,0.003,0.095,17.2,12,0,82.2,63,0,0,0
0.3,0.009,0,0.6,0.0025,0.094,16,12.6,0,83.4,59,0,0,0
1.1,0.032,0.02,0.6,0.0091,0.086,17.7,0,0.9,79.8,80,0.545,0.257,0.038
1.3,0.031,0,0.7,0.0272,0.081,20.3,10.28,0.3,77.6,81,0.099,0.109,0.041
0.3,0.004,0,0.7,0.0205,0.056,18.3,11.89,0,81.2,67,0,0,0
0.3,0.004,0.007,0.7,0.0205,0.054,17.8,10.62,0,81.8,65,0,0,0
0.9,0.027,0.014,0.4,0.0117,0.102,17.6,6.63,0.18,80.87,76,0.117,0.048,0.005
0.2,0.01,0.007,0,0.0188,0.058,16.4,0,0,83.2,60,0,0,0
2.16,0.018,0.012,1.8,0.0002,0.095,10.87,7.9,1.38,85.4,65,0.347,0.411,0.35
5,0.011,0.032,0,0.0039,0.12,8.8,0,2.9,81.9,82,0,0,0
4.2,0.018,0.041,0,0.0019,0.122,10,0,2.1,82.3,77,0,0,0
2.5,0.008,0.026,1.1,0.0014,0.046,7.3,1.45,1.9,87.8,57,0.766,0.838,0.094
2.44,0.01,0.015,1.3,0.0001,0.087,8.18,1.42,2.26,86.84,63,0.937,0.941,0.141
5.1,0.009,0.106,1.1,0.003,0.142,5.5,1.39,1.2,86.9,51,0.58,0.44,0.1
2.03,0.019,0.038,1.8,0,0.127,6.36,2.16,6.93,84.3,96,2.84,3.12,0.9
3.59,0.037,0.017,1.4,0.0177,0.17,6.34,1.43,2.48,86.92,62,0.51,0.77,0.43
3.8,0.011,0.235,0.6,0.0017,0.095,8.89,0.82,1.7,85.3,66,0.461,0.632,0.392
1.6,0.018,0.025,1.1,0.001,0.06,9.2,0.55,0.9,88,51,0.211,0.392,0.188
2.37,0.021,0.035,0.9,0.0001,0.039,8.79,1.07,1.18,87.25,55,0.338,0.467,0.272
2.69,0.027,0.038,2.1,0.0001,0.139,9.08,2.5,2.06,85.64,66,0.595,0.854,0.461
1.6,0.037,0.016,1.1,0.001,0.066,7.2,1.72,1.7,89.1,50,0.278,0.425,0.9
5.2,0.036,0.025,0.6,0.0019,0.092,6.4,1.68,3.7,83.3,78,1.1,1.7,0.77
2.6,0.051,0.266,0.3,0.0013,0.044,8.2,1.32,2,86.5,61,1.175,0.534,0.132
3.14,0.066,0.119,0.7,0.0001,0.067,8.95,1.27,2.11,85.25,67,1.291,0.581,0.103
2.5,0.014,0.035,1.1,0.0015,0.072,9.4,2.43,1.1,86.7,59,0.411,0.447,0.079
2.36,0.017,0.038,1.2,0.0003,0.112,9.45,2.09,1.47,86.34,61,0.486,0.594,0.193
4.34,0.012,0.035,1.1,0.0019,0.148,11.53,0.37,1.9,81.81,81,0.705,0.782,0.14
1,0.017,0.038,0,0.0033,0.112,8,0,0,90.6,33,0,0,0
1.2,0.022,0.038,0,0.0028,0.121,9.5,0,0.1,88.7,41,0,0,0
1.7,0.014,0.011,1.5,0.0029,0.133,8.4,1.2,2.1,87.3,60,1.23,0.58,0.144
3.5,0.053,0.205,1.2,0.0001,0.143,11.97,0.8,2,81.5,78,1.1,0.733,0.163
2.57,0.015,0.03,1.1,0.0002,0.122,11.42,2.72,1.37,84.17,68,0.543,0.497,0.185
5.3,0.022,0.239,0,0.0041,0.163,10.8,0,1,81.6,75,0,0,0
2.51,0.03,0.022,1.3,0,0.2,11.04,5.37,2.17,83.7,74,0.572,0.98,0.48
2.37,0.024,0.023,1,0.0003,0.086,9.57,1.25,0.92,86.64,56,0.239,0.304,0.233
2.27,0.018,0.019,0.9,0.0002,0.091,7.94,1.66,1.24,88.22,52,0.338,0.446,0.308
3.8,0.011,0.276,0.8,0.0003,0.107,7.5,0.66,1.6,86.3,60,0.5,0.555,0.309
1.92,0.014,0.049,1.7,0.0003,0.116,8.81,1.77,2.95,85.75,69,1.063,1.347,0.377
2.21,0.017,0.031,1.3,0.0002,0.145,8.84,2.34,3.6,84.94,77,1.367,1.289,0.298
2.21,0.017,0.031,1.3,0.0002,0.145,8.84,2.34,3.6,84.94,77,0.87,0.82,0.19
2.04,0.027,0.034,1.1,0.0002,0.083,8.66,1.46,1.12,87.76,53,0.302,0.402,0.269
2.1,0.014,0.052,0,0.0008,0.047,8,0,0.8,88.6,48,0,0,0
2,0.014,0.049,0,0.0008,0.046,7.7,0,0.9,88.9,48,0,0,0
2.02,0.014,0.045,1,0.0011,0.097,8.64,0.99,1.89,87,60,0.483,0.811,0.448
2.19,0.016,0.016,1.6,0.0016,0.141,7.8,1.37,2.14,87.47,59,0.764,0.963,0.234
2.1,0.013,0.013,1.1,0.0017,0.095,7.1,0.94,1.7,88.6,51,0.696,0.69,0.154
2,0.012,0.02,1.1,0.0012,0.094,6.9,0.94,2,88.6,52,0.828,0.822,0.167
1.8,0.032,0.017,1.1,0.0008,0.073,7.6,0,1.5,88.7,52,0,0,0
1.2,0.032,0.021,1.1,0.0008,0.063,6.8,0,1.2,90.3,44,0,0,0
1.72,0.016,0.045,0.9,0.0004,0.098,7.55,1.36,1.74,88.5,53,0.485,0.687,0.391
2.32,0.027,0.02,1.5,0.0007,0.102,7.62,1.54,0.9,88.82,48,0.236,0.294,0.241
4.8,0.046,0.041,0,0.0034,0.166,8.1,0,3.4,82.3,80,0,0,0
2.47,0.027,0.024,2.1,0.0001,0.158,8.42,1.58,1.73,86.9,59,0.496,0.712,0.374
1.7,0.026,0.026,1.1,0.0008,0.059,9.1,0,2.2,86.2,64,0,0,0
2,0.028,0.02,1.1,0.0007,0.055,7.9,0,2.5,87.2,63,0,0,0
0.3,0.008,0.003,1.4,0.0064,0.149,15.3,11.6,0.22,84,64,0.041,0.008,0.079
0.3,0.008,0.004,1.1,0.0158,0.066,19,13,0.2,80,70,0.039,0.06,0.03
0.5,0.006,0.001,2,0.0127,0.129,17.18,14.87,0.2,81.6,73,0.03,0.025,0.068
0.2,0.005,0.001,1.8,0.0139,0.065,16.6,8.83,0.2,82.8,62,0.024,0.019,0.073
0.2,0.004,0.001,1.8,0.0278,0.069,16.3,13.93,0.2,83.1,61,0.024,0.019,0.073
0.2,0.005,0,2.1,0.0289,0.072,15.4,12.96,0.2,84,58,0.032,0.008,0.063
0.2,0.005,0,2.1,0.0268,0.08,15.6,12.96,0.2,83.8,58,0.033,0.008,0.062
0.2,0.006,0,1.8,0.0179,0.109,12.4,8.72,0.2,86.9,47,0.028,0.03,0.051
0.2,0.006,0,1.8,0.0189,0.12,11.64,9.25,0.2,87.7,44,0.024,0.037,0.045
0,0.001,0.001,1.1,0.0428,0.132,14.1,10.61,0,85.6,51,0,0,0
0,0.001,0.001,1.1,0.0428,0.132,14.1,10.81,0,85.63,51,0,0,0
0.1,0.004,0.002,1.5,0.0268,0.076,10.5,0,0.1,89.1,39,0.011,0.009,0.032
0.1,0.004,0.002,1.5,0.0281,0.078,10.1,0,0.1,89.5,37,0.01,0.009,0.032
0.37,0.005,0.003,1.6,0.0173,0.131,16.16,4.35,0.1,83.14,66,0.04,0.01,0.05
0,0.005,0.001,1.7,0.0378,0.077,10.3,8.48,0,89.5,37,0,0,0
0.2,0.004,0,1.7,0.0383,0.071,10.8,9.87,0.2,88.6,41,0.032,0.008,0.056
0.3,0.008,0,1.5,0.0179,0.125,17.3,1.4,0,82.1,63,0,0,0
0.3,0.009,0,1.5,0.0216,0.121,16.3,1.41,0,83.1,60,0,0,0
0.2,0.007,0,1.6,0.0212,0.078,18.4,8.41,0.1,81.1,68,0.036,0.009,0.02
0.2,0.007,0,1.6,0.0192,0.068,17.8,10.73,0,81.7,65,0,0,0
0.9,0.005,0.002,1.4,0.0139,0.233,19.31,12.76,0.22,79,83,0.106,0.028,0.085
0.4,0.008,0,1.6,0.0257,0.108,17.8,7.1,0.2,81.5,67,0.076,0.018,0.037
0.4,0.005,0,1.6,0.0167,0.088,15.3,0.38,0.1,84,56,0.035,0.01,0.019
0.2,0.007,0.004,0,0.0809,0.074,17,0,0.1,82.5,63,0,0,0
0.2,0.007,0.005,1.4,0.1131,0.079,18.9,0,0.1,80.6,70,0,0,0
0.94,0.004,0.004,1.3,0.0461,0.195,14.48,11.5,0.33,83.65,65,0.02,0.01,0.04
0.94,0.004,0.004,1.3,0.0461,0.195,14.48,11.5,0.33,83.65,65,0.02,0.01,0.04
0.3,0.01,0,2.6,0.0168,0.118,11.4,7.36,0.2,87.8,44,0.013,0.031,0.058
0.3,0.01,0,2.6,0.0275,0.116,10.9,7.79,0.1,88.5,41,0.007,0.016,0.029
0.3,0.008,0.001,3.6,0.022,0.115,11.6,7.34,0.1,87.8,44,0.006,0.021,0.023
0.3,0.008,0.001,3.6,0.0245,0.13,10.8,6.98,0.2,88.4,42,0.012,0.042,0.046
0.1,0.006,0,1.2,0.0008,0.083,20.5,13.64,0,79.2,74,0,0,0
0.1,0.006,0,1.2,0.0011,0.085,19.7,13.34,0,80,71,0,0,0
0.6,0.015,0.002,2.7,0.0008,0.162,18.7,10.97,0.1,80.1,70,0.008,0.066,0.022
0.6,0.015,0.005,2.7,0.0008,0.177,18.5,10.97,0.1,80.3,69,0.008,0.066,0.022
0.4,0.014,0.017,0.4,0.0072,0.047,16,9.41,0.4,82.9,69,0.11,0.148,0.061
0.4,0.015,0.025,0.6,0.0124,0.046,15.48,9.29,0.3,83.5,66,0.087,0.113,0.043
1.2,0.027,0.037,1.3,0.0017,0.116,5.7,1.06,0.2,92.6,29,0.044,0.008,0.102
0,0.012,0.089,0,0.008,0.054,86.68,57.4,0,12.89,347,0,0,0
0,0.004,0.008,0.1,0.0579,0.091,11.7,10.7,0.1,88,47,0.018,0.002,0.031
0.2,0.007,0.004,0.3,0.0321,0.11,11.2,10.5,0.1,88.2,47,0.02,0,0.03
0.1,0.005,0,0.1,0.0583,0.098,9.9,8.98,0.2,89.5,41,0.035,0.011,0.06
0.1,0.006,0,0.1,0.0315,0.09,11.34,10.9,0.2,88.1,46,0.04,0.009,0.059
0.2,0.003,0,0.1,0.0585,0.097,10.5,9.59,0.1,89,43,0.018,0.002,0.031
0.1,0.005,0,0.1,0.0582,0.101,12.3,11.54,0,87.3,49,0,0,0
0.2,0.009,0.008,0.1,0.0675,0.148,18.1,10.58,0.1,81.3,72,0.018,0.006,0.031
0.06,0.127,0.003,0.4,0.0212,0.092,11.1,9,0.1,88.3,46,0.018,0.005,0.032
0.3,0.015,0.005,0.5,0.0341,0.137,11.4,9.6,0.1,87.9,48,0.03,0.01,0.05
0.2,0.064,0.004,0.4,0.0212,0.086,12.7,10.6,0.1,86.5,52,0.02,0.004,0.029
0.1,0.008,0.008,0.1,0.0636,0.101,11.7,8.46,0.1,87.9,47,0.015,0.006,0.039
0.6,0.012,0,0.1,0.0625,0.184,10.2,8.26,0.3,88.5,45,0.035,0.05,0.06
0.4,0.01,0.003,0,0.0769,0.138,10.1,0,0.2,88.9,43,0,0,0
0.4,0.005,0,0.1,0.0321,0.134,11.5,10.03,0.1,87.6,47,0.016,0.007,0.027
0.8,0.006,0.006,0.1,0.0859,0.199,10.9,0,0.1,87.8,46,0.011,0.022,0.02
0.7,0.017,0.003,0,0.034,0.2,11.9,0,0.1,86.9,50,0,0,0
0.5,0.008,0.002,0.1,0.0534,0.141,11.7,0,0.1,87.3,48,0.01,0.014,0.024
0.5,0.016,0.01,0.4,0.0341,0.174,9.9,8.4,0.1,89.1,43,0.01,0.01,0.03
0,0.012,0.008,0.1,0.0338,0.13,11.86,7.28,0,87.9,47,0,0,0
0.6,0.012,0.002,0,0.0638,0.181,16.8,0,0.3,81.9,70,0,0,0
3.5,0.102,0.112,0.5,0,0.018,11.2,0.79,2.6,81.7,82,1.53,0.7,0.17
1.13,0.038,0.176,0.9,0.0014,0.118,7.64,1.18,1.47,88.78,48,0.632,0.29,0.291
3.5,0.011,0.026,0.5,0.0025,0.168,8.72,1.18,2.1,85.23,68,0.847,0.92,0.108
12.03,0.005,0.041,0,0.0021,0.187,2.43,0,2.52,82.44,81,1.18,0.95,0.16
12.03,0.005,0.041,0,0.0021,0.187,2.43,0,2.52,82.44,81,1.18,0.95,0.16
14.6,0.073,0.408,0.2,0.0017,0.106,1.5,1.4,14.4,68.3,188,4.094,6.267,2.986
14,0.055,0.049,0,0.0015,0.122,0,0,9.6,76,146,2.47,4.33,2.33
13.7,0.064,0.049,0,0.0017,0.141,0.1,0,7.9,77.5,130,2.03,3.56,1.92
11.3,0.005,0.044,0,0.0021,0.21,3.7,0,3.8,80.5,97,1.271,1.804,0.516
11.3,0.006,0.044,0,0.0021,0.204,3.7,0,3.8,80.5,97,1.267,1.803,0.51
15.2,0.007,0.042,0,0.0017,0.211,0,0,5.2,79.6,112,2.56,2.06,0.22
14.07,0.007,0.043,0,0.0012,0.193,0.85,0,3.41,81.06,87,1.65,1.27,0.31
13.4,0.034,0.423,0.2,0.0024,0.114,1.1,0.8,14.6,69.5,184,5.82,6.48,1.59
14,0.005,0.042,0,0.0018,0.223,0,0,7.1,78.4,124,2.4,3.58,0.78
13.7,0.083,0.44,0.5,0.0015,0.12,1.4,1.4,14.2,69.8,188,4.143,4.671,3.615
11.5,0.041,0.049,0,0,0.135,1.4,0,6.2,80.32,111,1.641,2.384,1.741
11.5,0.041,0.049,0,0.0022,0.135,1.4,0,6.2,80.32,111,1.641,2.384,1.741
13.12,0.006,0.039,0,0,0.17,1.51,0,2.45,82.37,81,1.063,1.054,0.157
2.4,0.081,0.036,0.4,0.0339,0.137,14.68,10.8,0.8,81.5,76,0.517,0.219,0.022
0.8,0.028,0.016,0.4,0.0117,0.062,16.23,11.74,0.8,81.8,75,0.517,0.219,0.022
10.5,0.286,0,7.8,0.0027,0.346,74.1,11.09,7.05,5.4,402,1.572,3.008,2.29
0.5,0.006,0.009,0.8,0.0313,0.083,11.8,9.49,0.2,87.4,51,0.016,0.046,0.078
0.3,0.01,0.006,1.2,0.0313,0.051,13.6,8.66,0.1,85.6,57,0.01,0.043,0.046
3.4,0.014,0.006,2.5,0.003,0.093,11.49,2.88,0.5,84.1,64,0.1,0.18,0.18
3.9,0.021,0.048,3.9,0.006,0.081,10.3,4.13,0.8,84.6,64,0.14,0.07,0.37
1.1,0.003,0,1.3,0.0123,0.265,12.7,9.3,0.3,85.6,57,0.06,0.12,0.07
1,0.004,0.057,0.9,0.0105,0.11,11.73,0.91,0.1,86.8,52,0.015,0.002,0.025
10.8,0.025,0.269,2.3,0.0038,0.137,82.2,3.08,2,4,397,0.316,0.188,0.833
1,0.021,0.001,2.7,0.0013,0.306,23.52,21.21,0.2,74.3,100,0.02,0.13,0.04
3.6,0.054,0.282,0.1,0.0001,0.032,16.3,0.59,2.2,76.5,99,0.96,0.57,0.48
6.7,0.85,0.016,3,0,0.41,86.89,3.22,2.4,3.2,396,0.503,0.615,0.92
10.7,0.263,0.227,1.4,0.0091,0.323,76.4,12.65,4.2,6.4,391,1.206,1.702,0.998
1.9,0.014,0.014,1.1,0.0003,0.135,12.1,2.39,1.5,84.1,69,0.14,0.97,0.32
2,0.032,0.005,2,0.0049,0.352,9.26,2.93,0.6,87.3,50,0.095,0.166,0.28
2.2,0.06,0.018,1.4,0.0011,0.148,9,2.35,1.9,86.2,62,1.117,0.539,0.132
1.3,0.014,0.083,1.9,0.0024,0.182,7.7,6.09,0.1,90.1,34,0.016,0.019,0.036
0.8,0.023,0.049,1.7,0.0055,0.202,7.2,3.16,0.2,91,32,0.036,0.009,0.093
0.8,0.022,0.069,1.7,0.0057,0.196,6,3.64,0.1,92.3,26,0.018,0.004,0.047
1.4,0.004,0.052,2.1,0.0022,0.081,16.25,1.48,0.4,81.4,65,0.074,0.116,0.178
1.4,0.02,0.043,2.1,0.0021,0.09,14.1,1.23,0.4,83.6,57,0.076,0.116,0.176
2.3,0.028,0.031,1.5,0.0057,0.168,6.8,2.57,0.2,90,32,0.035,0.011,0.09
1.2,0.065,0.005,1.9,0.0084,0.128,5.8,1.08,0.1,92.5,24,0.023,0.004,0.052
1.2,0.039,0.007,2.2,0.0003,0.146,6.29,1.88,0.17,91.85,27,0.039,0,0.116
1.4,0.011,0.036,1.5,0.0025,0.17,8.2,1.78,0.4,89.4,36,0.079,0.025,0.186
1.2,0.013,0,1.5,0.0017,0.127,8.05,1.57,0.5,89.8,36,0.089,0.118,0.194
3.27,0.018,0.005,2,0.0006,0.106,8.36,2.01,0.43,87.52,50,0.07,0.05,0.2
2.5,0.089,0.049,1.8,0.0087,0.191,5.7,2.33,1.3,89.6,37,0.702,0.332,0.133
0.81,0.024,0.005,0.9,0.0003,0.185,5.73,3.24,0.2,92.66,24,0.02,0.02,0.04
0.81,0.024,0.005,0.9,0.0003,0.185,5.73,3.37,0.2,92.66,28,0.02,0.02,0.04
1.1,0.016,0.022,1.5,0.0099,0.263,13.2,4.05,0.1,84.8,57,0.021,0.004,0.044
1.1,0.016,0.018,1.5,0.0096,0.243,14,4.24,0.1,84.1,60,0.021,0.004,0.044
3.4,0.107,0.041,0.3,0.0014,0.149,13.22,11.46,3.53,79.16,98,1.84,0.916,0.367
3.05,0.098,0.038,0.6,0.0036,0.143,13,11.46,3.08,80.21,92,1.582,0.74,0.405
2.86,0.093,0.036,0,0.0095,0.125,11.15,10.5,4.77,80.47,99,1.256,1.936,1.068
2.8,0.092,0.036,0.5,0.0096,0.124,11.28,7.6,4.7,80.47,99,1.256,1.936,1.067
16.5,0.44,0.26,0,0.038,0.59,54.8,54,22,3,483,19.186,0.683,1.609
3.33,0.088,0.052,0,0.0076,0.118,8.57,7.4,4.48,82.86,88,3.953,0.143,0.333
0,0.01,0.101,0,0,0.077,2.45,2.45,0,96.44,10,0,0,0
0.82,0.018,0.014,7.8,0.1799,0.312,76.61,68.65,2.24,19.09,330,0.361,0.091,0.658
1.52,0.053,0.021,0,0.0079,0.071,6.39,6.44,3.5,88.4,63,1.5,1.3,0.7
2,0.086,0.025,0,0.0113,0.075,7.4,7.4,3.8,86,71,1.578,1.33,0.862
13.99,0.534,0.224,0,0.0458,0.598,51.91,34.18,28.19,1.5,517,14.282,2.276,8.877
2.12,0.163,0.034,0,0.0289,0.101,8.2,8.2,4.24,85.07,78,2.544,0.402,0.842
1.92,0.072,0.023,0,0.0103,0.097,6.94,6.9,3.77,87,69,2.447,0.387,0.844
2.64,0.099,0.031,0,0.0115,0.134,13.52,13.52,6.89,76.16,127,2.401,2.551,1.555
